NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,CE,dC^(1/6),log(dC),Fatigue
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,0.496333333,0.2,-2.096910013,1002
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,0.496333333,0.2,-2.096910013,1082
930,30,0,0,930,540,850,15,140,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,0.496333333,0.2,-2.096910013,935
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,0.496333333,0.2,-2.096910013,1035
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,0.51,0,-15,986
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,0.51,0,-15,1089
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,0.51,0,-15,1080
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,0.51,0,-15,1053
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,0.567666667,0.2,-2.096910013,858
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,0.567666667,0.2,-2.096910013,948
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,0.567666667,0.2,-2.096910013,957
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,0.567666667,0.2,-2.096910013,882
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,0.551,0,-15,889
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,0.551,0,-15,900
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,0.551,0,-15,838
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,0.551,0,-15,898
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,0.504333333,0,-15,927
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,0.504333333,0,-15,956
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,0.504333333,0,-15,960
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,0.504333333,0,-15,924
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,0.586,0,-15,1034
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,0.586,0,-15,1056
930,30,0,0,930,540,850,15,140,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,0.586,0,-15,1054
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,0.586,0,-15,1037
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,0.575333333,0.158740105,-2.397940009,854
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,0.575333333,0.158740105,-2.397940009,884
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,0.575333333,0.158740105,-2.397940009,876
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,0.575333333,0.158740105,-2.397940009,873
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,0.621666667,0,-15,1074
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,0.532333333,0,-15,1006
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,0.621666667,0,-15,1144
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,0.532333333,0,-15,1028
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,0.621666667,0,-15,1080
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,0.532333333,0,-15,1030
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,0.621666667,0,-15,1104
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,0.532333333,0,-15,1008
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.19,0.026,0.022,825,0.04,0.02,0,0.296,0,-15,225
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.26,0.021,0.023,1270,0.04,0.03,0,0.304333333,0,-15,239
885,30,0,0,30,0,30,0,30,30,0,0,0.23,0.26,0.029,0.024,1740,0.11,0,0,0.323666667,0,-15,255
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,0.581,0,-15,1139
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,0.581,0,-15,1124
930,30,0,0,930,540,850,15,140,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,0.581,0,-15,1190
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,0.581,0,-15,1110
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,0.557666667,0,-15,976
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,0.557666667,0,-15,946
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,0.557666667,0,-15,1033
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,0.557666667,0,-15,1009
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,0.602666667,0.215443469,-2,1086
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,0.602666667,0.215443469,-2,1057
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,0.602666667,0.215443469,-2,1068
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,0.602666667,0.215443469,-2,1120
885,30,0,0,30,0,30,0,30,30,0,0,0.25,0.18,0.009,0.017,610,0.11,0,0.04,0.358,0.341995189,-1.397940009,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.21,0.017,0.022,825,0.07,0.02,0.04,0.338666667,0.341995189,-1.397940009,232
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.27,0.008,0.015,1270,0.07,0.02,0,0.339666667,0,-15,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.23,0.018,0.024,1740,0.06,0,0,0.350333333,0,-15,241
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.22,0.026,0.026,825,0.06,0.02,0.02,0.348333333,0.271441762,-1.698970004,245
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.25,0.02,0.021,1740,0.07,0,0,0.366,0,-15,245
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.23,0.008,0.03,610,0.08,0,0.04,0.361666667,0.341995189,-1.397940009,275
885,30,0,0,30,0,30,0,30,30,0,0,0.28,0.27,0.021,0.018,1270,0.08,0.01,0,0.371333333,0,-15,255
900,845,30,8,30,0,30,0,30,550,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,0.723666667,0.271441762,-1.698970004,576
900,845,30,8,30,0,30,0,30,600,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,0.723666667,0.271441762,-1.698970004,537
900,845,30,8,30,0,30,0,30,650,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,0.723666667,0.271441762,-1.698970004,502
900,845,30,8,30,0,30,0,30,550,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,0.735,0.215443469,-2,522
900,845,30,8,30,0,30,0,30,600,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,0.735,0.215443469,-2,503
900,845,30,8,30,0,30,0,30,650,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,0.735,0.215443469,-2,471
900,845,30,8,30,0,30,0,30,550,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,0.727333333,0.215443469,-2,537
900,845,30,8,30,0,30,0,30,600,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,0.727333333,0.215443469,-2,518
900,845,30,8,30,0,30,0,30,650,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,0.727333333,0.215443469,-2,471
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,0.449,0,-15,418
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,0.454333333,0.310723251,-1.522878745,379
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,0.449,0,-15,395
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,0.454333333,0.310723251,-1.522878745,358
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,0.449,0,-15,348
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,0.454333333,0.310723251,-1.522878745,325
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,0.749,0.215443469,-2,563
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,0.739333333,0.310723251,-1.522878745,530
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,0.739333333,0.271441762,-1.698970004,570
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,0.742666667,0,-15,570
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,0.749,0.215443469,-2,510
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,0.739333333,0.310723251,-1.522878745,510
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,0.739333333,0.271441762,-1.698970004,517
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,0.742666667,0,-15,540
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,0.749,0.215443469,-2,490
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,0.739333333,0.310723251,-1.522878745,477
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,0.739333333,0.271441762,-1.698970004,483
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,0.742666667,0,-15,497
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,0.463,0,-15,426
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,0.479333333,0,-15,454
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,0.463,0,-15,377
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,0.479333333,0,-15,425
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,0.463,0,-15,362
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,0.479333333,0,-15,385
870,855,30,8,30,0,30,0,30,550,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,0.685,0,-15,585
870,855,30,8,30,0,30,0,30,600,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,0.685,0,-15,535
870,855,30,8,30,0,30,0,30,650,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,0.685,0,-15,467
900,845,30,8,30,0,30,0,30,550,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,0.757,0.215443469,-2,569
900,845,30,8,30,0,30,0,30,600,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,0.757,0.215443469,-2,523
900,845,30,8,30,0,30,0,30,650,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,0.757,0.215443469,-2,476
865,865,30,24,30,0,30,0,30,550,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,0.468666667,0,-15,401
865,865,30,24,30,0,30,0,30,600,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,0.468666667,0,-15,365
865,865,30,24,30,0,30,0,30,650,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,0.468666667,0,-15,325
870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,0.710666667,0.215443469,-2,535
870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,0.715666667,0,-15,557
870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,0.710666667,0.215443469,-2,490
870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,0.715666667,0,-15,524
870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,0.710666667,0.215443469,-2,459
870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,0.715666667,0,-15,476
900,845,30,8,30,0,30,0,30,550,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,0.795,0.215443469,-2,549
900,845,30,8,30,0,30,0,30,600,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,0.795,0.215443469,-2,536
900,845,30,8,30,0,30,0,30,650,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,0.795,0.215443469,-2,496
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,0.482333333,0,-15,397
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,0.494666667,0,-15,419
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,0.491333333,0,-15,395
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,0.482333333,0,-15,382
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,0.494666667,0,-15,385
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,0.491333333,0,-15,375
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,0.482333333,0,-15,344
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,0.494666667,0,-15,369
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,0.491333333,0,-15,341
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,0.704666667,0.271441762,-1.698970004,571
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,0.736666667,0.215443469,-2,563
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,0.717,0,-15,583
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.026,0.018,820,0.1,0,0,0.700666667,0,-15,592
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,0.704666667,0.271441762,-1.698970004,519
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,0.736666667,0.215443469,-2,530
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,0.717,0,-15,546
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.026,0.018,820,0.1,0,0,0.700666667,0,-15,550
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,0.704666667,0.271441762,-1.698970004,491
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,0.736666667,0.215443469,-2,469
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,0.717,0,-15,496
