NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,HJP,CE,dC^(1/6),Fatigue
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,1002
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,1082
930,30,0,0,930,540,850,15,140,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,935
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,9657.583919,0.496333333,0.2,1035
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,986
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,1089
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,1080
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,9632.229219,0.51,0,1053
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,858
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,948
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,957
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,9632.229219,0.567666667,0.2,882
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,889
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,900
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,838
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,9606.874519,0.551,0,898
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,927
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,956
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,960
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,9581.519819,0.504333333,0,924
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1034
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1056
930,30,0,0,930,540,850,15,140,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1054
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,9556.165119,0.586,0,1037
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,854
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,884
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,876
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,9556.165119,0.575333333,0.158740105,873
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1074
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1006
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1144
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1028
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1080
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1030
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,9556.165119,0.621666667,0,1104
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,9556.165119,0.532333333,0,1008
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.19,0.026,0.022,825,0.04,0.02,0,1342.1616,0.296,0,225
